,urlDrugName,rating,effectiveness,sideEffects,benefitsReview
135,protonix,9,Highly Effective,No Side Effects,Effectively controlled acid reflux.  Before treatment patient had severe acid reflux which was not controlled by other medications.  After trying many other drugs the patient was prescribed protonix and it worked very effectively.  The patient was then able to eat regular meals with no ill effects.
136,mirapex,10,Highly Effective,Mild Side Effects,"First treatment in 50 years that helped the constant but elusive pain in my nervous system, causing me to sleep an hour or two at a time at best.  The pain is 100% gone when I take the mirapex ... back when I do not."
137,dexamethasone,3,Marginally Effective,No Side Effects,"marginal, not sure if recovrey was from the drug or from the infection running it's course."
138,renova,7,Moderately Effective,Moderate Side Effects,Wrinles seemed less defined
139,toradol,1,Ineffective,Extremely Severe Side Effects,None. She did an anaphylaxis schock and she did not receive any benefit .
140,caduet,3,Considerably Effective,Severe Side Effects,apparently lowered cholesterol and blood pressure
141,diazepam,10,Highly Effective,No Side Effects,"The drug calmed me down and stopped me from crying constantly.I only took it when absolutely necessary which was a huge benefit, unlike the anti anxiety drugs given out now which you have to take every day for long periods.Valium works instantly and I never had any problems at all with it. I do not understand why it is not given out instead of all these other antidepressants which are readily available and cause huge problems and come with awful side effects."
142,celebrex,8,Considerably Effective,No Side Effects,I started out with 100 mg twice a day and after about 3 years I've had to increase dosage to 200 mg in the morning and 100 mg at bedtime. It seems to keep my arthritis fairly under control but I have never been able to just take it once a day but I've also had arthritus for 35+ years. Unfortunatelt cold fronts and weather changes still bother my joints. This mediicine keeps me active and pretty much able to do most of what I want to do.
143,accutane,10,Highly Effective,Mild Side Effects,My skin cleared up and my pores shrank significantly. My skin looked flawless. My pores have remained smaller long-term (5+ years post treatment).
144,zoloft,9,Highly Effective,Mild Side Effects,relaxed
145,prevacid,7,Considerably Effective,Severe Side Effects,I suffered from acid reflux symptoms which included mild stomach upset and a full feeling after eating. Prevacid eliminated these symtoms very effectively to the point that I did not need repeated doses of over the counter anti-gas medication and antacids.
146,actiq,1,Highly Effective,Severe Side Effects,"Without question, Actiq is an extremely effective drug if you are in chronic severe pain and have no responsibilities.  Actiq relaxes the body and the brain becomes numb and able to handle ongoing pain effectively.  It is fast acting in the subcutaneous, ""lollipop"" form and within minutes you are comfortable.
The flavor is also quite pleasant."
147,doxycycline,4,Moderately Effective,Severe Side Effects,Treatment cleared up the infection.
148,meridia,10,Highly Effective,Mild Side Effects,I have been taking meridia for the last 6 weeks and have lost 16 lbs.  It has decreased my appetite and I am not thinking about food all the time.  Combined with diet and exercise this has helped me out a lot.
149,mobic,1,Ineffective,No Side Effects,No impact whatsoever.  It was like I wasn't even taking anything.  The OTC ibuprofen I was taking before my doctor appointment was more effective.
150,provigil,10,Highly Effective,No Side Effects,"As a medical professional (newly graduated medical student now in first year of residency), I am able to feel more alert and focused during the day even after having been up all night.  As free time is scarce in residency, I am now able to study when I would otherwise be too exhausted to do anything."
151,ortho-tri-cyclen,10,Highly Effective,Mild Side Effects,"-Prevented pregnancy perfectly
-Enlarged breasts
-Regulated periods
-Lighter flow during menstrual cycle
-Cleared skin for (moderate) acne"
152,tegretol,5,Highly Effective,Moderate Side Effects,i no longer had seizures. i was having a seizure everytime i ate food. my sizure responce was food.
153,zestoretic,10,Highly Effective,No Side Effects,"After trying a variety of high blood pressure medicines my doctor prescribed Zestoretic.  Zestoretic lowered my blood pressure to acceptable levels of 100/70 from 130/90.  The difference between this medicine and prior ones seems to be the diuretic.  After experiencing the positive benefits of the diuretic I began watching my sodium intake.  I avoid any food that contains 900 or over mgs of sodium per serving.  This pretty much eliminates most canned soups, dry packaged side dishes and frozen foods.  After 16 months of watching my sodium intake I have become much more sensitive to sodium and no longer use table salt"
154,malarone,9,Highly Effective,Moderate Side Effects,Malaria prevention.  Also patient did not intcounter any mosquito bites.
155,synthroid,10,Highly Effective,No Side Effects,"I became more active and lost 10 of the 14 pounds I had gained.  I have more energy, and feel like myself again."
156,zofran,9,Highly Effective,Mild Side Effects,Completely controlled nausea and vomiting.
157,elavil,8,Highly Effective,Moderate Side Effects,"I was only sleeping around 5 hrs per night. I felt sleepy ALL the time. I had episodes when my whole body would ache, every joint and muscle. It felt like someone had their hands around my neck, squeezing it until my eyes would pop out"
158,tazorac,8,Highly Effective,Moderate Side Effects,"marked reduction in hyperpigmented (age) spots, marked reduction in wrinkles around mouth and eyes, skin surface became much smoother and softer.  Truly turned back time.  Visible results within weeks and first 2 months were remarkable, but over the last year, the benefits have continued and areas of brown discoloration I thought would need laser therapy are almost cleared up!  I also had some scar dents that have cleared up and/or mostly gone!"
159,topamax,10,Marginally Effective,Severe Side Effects,The treatment benefits from Topamax did not outweigh the side effects.  There was minimal reduction in vocal tics caused by Tourette Syndrome and significant reduction in appetite that led to weight loss of approx. 20 lbs.
160,lunesta,1,Ineffective,Severe Side Effects,NONE
