term,idx,tf,df
repeat,35001,9,7
bipolar,5015,9,7
hard time,18828,9,6
prempro,31805,9,6
restore,35231,9,6
neurontin,27875,9,6
tylenol,43712,9,5
review,35484,9,5
mrsa,27159,9,4
thanks,41701,9,4
three year,42184,8,8
time life,42472,8,8
literally,23963,8,8
shortness breath,36921,8,8
wrong,46830,8,8
take two,41224,8,8
get day,17455,8,8
response,35165,8,8
diet exercise,10692,8,8
killer,22375,8,8
pain killer,29969,8,8
improve mood,20718,8,8
perfectly,30730,8,8
mg per,26034,8,8
go work,18001,8,8
take care,40945,8,8
2nd,99,8,8
day would,9705,8,8
week felt,45307,8,8
yeast infection,47124,8,8
muscle pain,27377,8,8
bacterial,4012,8,8
knock,22433,8,8
completely stop,7610,8,8
get life,17517,8,8
alleviate symptom,1660,8,8
cholesterol lower,6669,8,8
amaze,2272,8,8
affected,1269,8,8
flash night,16327,8,8
solution,38245,8,8
make difference,24899,8,8
purpose,33029,8,8
alleviation,1666,8,8
offer,29017,8,8
fog,16553,8,8
exhaust,14531,8,8
bout,5422,8,8
clean,6848,8,8
month ago,26685,8,8
lifting,23622,8,8
drug cause,11903,8,8
pain also,29841,8,8
lower cholesterol,24627,8,8
bother,5390,8,8
much able,27178,8,8
comfortable,7416,8,8
become much,4349,8,8
surface,40287,8,8
around mouth,3197,8,8
last year,22702,8,8
without feel,46043,8,8
accord,547,8,8
month notice,26760,8,8
immediate relief,20518,8,8
b,3852,8,8
c,5790,8,8
watery,45155,8,8
choice,6638,8,8
quicker,33158,8,8
lose hair,24378,8,8
awhile,3832,8,8
pore size,31476,8,8
two hour,43675,8,8
hit,19670,8,8
mild depression,26215,8,8
hold,19705,8,8
able deal,330,8,8
altogether,2225,8,8
depression go,10268,8,8
much bad,27187,8,8
stressful situation,39710,8,8
per month,30696,8,8
daily basis,9251,8,8
sensitivity,36487,8,8
bacteria,4003,8,8
able complete,322,8,8
decrease depression,9829,8,8
pain joint,29967,8,8
program,32637,8,8
short term,36900,8,8
year later,47002,8,8
good result,18164,8,8
mainly,24783,8,8
personal,30927,8,8
whether,45819,8,8
anyway,2845,8,8
10mg,20,8,8
one pill,29236,8,8
typically,43747,8,8
year take,47091,8,8
limit,23850,8,8
conjunction,7900,8,8
daily life,9277,8,8
effect last,12801,8,8
whereas,45808,8,8
soreness,38485,8,8
energetic,13544,8,8
work wonder,46425,8,8
25mg,86,8,8
drug use,12131,8,8
minimum,26381,8,8
take week,41234,8,8
ready,33605,8,8
set,36571,8,8
help anxiety,19239,8,8
replace,35016,8,8
prevented,32200,8,8
everyone,14318,8,8
skin seem,37550,8,8
also increase,2022,8,8
negative side,27800,8,8
decrease significantly,9901,8,8
feeling well,15678,8,8
recommend drug,33871,8,8
create,8926,8,8
nightly,28212,8,8
interest,21740,8,8
medication still,25631,8,8
market,25185,8,8
per week,30700,8,8
flare ups,16290,8,8
able cope,327,8,8
anxiety level,2686,8,8
late,22713,8,8
week use,45417,8,8
online,29292,8,8
use product,44355,8,8
refresh,34384,8,8
experienced,14728,8,8
sudden,39980,8,8
progression,32661,8,7
anxiety panic,2704,8,7
relapse,34538,8,7
sun damage,40161,8,7
clinical,7049,8,7
spell,38623,8,7
cigarette,6759,8,7
bad side,4093,8,7
save life,35883,8,7
impact,20595,8,7
safe,35824,8,7
breast cancer,5569,8,7
respiratory,35146,8,7
stop smoking,39555,8,7
take lexapro,41067,8,7
work day,46252,8,7
achieve,627,8,7
aspirin,3337,8,7
reduces,34228,8,7
high dosage,19574,8,7
alive,1552,8,7
severely,36736,8,7
peel,30609,8,7
out,29570,8,7
metrogel,25984,8,7
spray,38762,8,7
smell,38003,8,7
fully,17078,8,7
nasal drip,27497,8,7
loose,24328,8,7
moment,26650,8,7
spread,38769,8,7
limited,23857,8,7
manageable,25056,8,7
spend,38630,8,7
darker,9383,8,7
numbness,28788,8,7
afternoon,1304,8,6
diabetes,10548,8,6
stomach pain,39394,8,6
wash,45107,8,6
urination,44165,8,6
line around,23873,8,6
addiction,1058,8,6
thyroid level,42295,8,6
differin,10784,8,6
pill day,31099,8,6
hairloss,18619,8,6
propecia,32727,8,5
vision,44798,8,5
remission,34938,8,5
toenail,42719,8,5
sodium,38210,8,4
bear,4263,8,4
help pain,19378,7,7
original,29479,7,7
due side,12303,7,7
track,42948,7,7
relieve anxiety,34771,7,7
persistent,30896,7,7
despite,10461,7,7
adult acne,1189,7,7
settle,36585,7,7
reduce number,34130,7,7
hangover,18730,7,7
sleep hour,37677,7,7
energy feel,13583,7,7
male,25017,7,7
smooth skin,38094,7,7
hormone replacement,19840,7,7
lisinopril,23947,7,7
close,7096,7,7
medication work,25662,7,7
bad cholesterol,4035,7,7
old self,29137,7,7
work great,46306,7,7
forward,16804,7,7
aware,3721,7,7
less oily,23123,7,7
weakness,45215,7,7
added,1038,7,7
focused,16541,7,7
tingle,42610,7,7
drowsy,11849,7,7
otc,29531,7,7
brain fog,5469,7,7
keep go,22260,7,7
up,44045,7,7
within one,45984,7,7
effective treat,13060,7,7
another benefit,2456,7,7
prior treatment,32315,7,7
reduction pain,34304,7,7
patient able,30449,7,7
understand,43879,7,7
start mg,39007,7,7
day also,9444,7,7
clear infection,6917,7,7
almost immediate,1771,7,7
use retin,44363,7,7
project,32676,7,7
much easy,27205,7,7
sleep much,37707,7,7
relieve symptom,34816,7,7
felt less,15764,7,7
overall skin,29715,7,7
wake feel,44947,7,7
success,39954,7,7
infection clear,21204,7,7
one two,29270,7,7
extra,14812,7,7
depend,10110,7,7
reduce headache,34083,7,7
nervousness,27848,7,7
involve,21841,7,7
help keep,19335,7,7
help calm,19257,7,7
help acne,19223,7,7
start get,38979,7,7
basically,4205,7,7
various,44618,7,7
ten,41512,7,7
clear sinus,6970,7,7
specifically,38597,7,7
contribute,8222,7,7
pain decrease,29895,7,7
crack,8775,7,7
viral,44748,7,7
suppress,40236,7,7
would last,46646,7,7
consistent,8016,7,7
improve dramatically,20689,7,7
pm symptom,31358,7,7
50mg,159,7,7
20mg,72,7,7
hypothyroid,20312,7,7
heart palpitation,19138,7,7
successfully,39969,7,7
regrowth,34465,7,7
felt great,15752,7,7
water retention,45149,7,7
groggy,18404,7,7
hear,19108,7,7
sleep wake,37772,7,7
wake middle,44958,7,7
acting,847,7,7
physically,31013,7,7
time get,42440,7,7
medication would,25663,7,7
attribute,3596,7,7
engage,13632,7,7
hour take,19982,7,7
improve sleep,20740,7,7
one day,29178,7,7
acne face,723,7,7
depression also,10213,7,7
round,35724,7,7
fill,15930,7,7
decrease pain,9887,7,7
neck pain,27668,7,7
slight improvement,37837,7,7
eliminate pain,13285,7,7
without get,46051,7,7
papule,30237,7,7
seasonal allergy,36129,7,7
college,7234,7,7
pain experience,29921,7,7
get back,17425,7,7
count,8663,7,7
group,18423,7,7
thinning,42032,7,7
esteem,13963,7,7
able think,413,7,7
interfere,21760,7,7
able work,423,7,7
tract,42956,7,7
couple day,8708,7,7
catch,6160,7,7
interested,21748,7,7
discover,11065,7,7
miserable,26494,7,7
sleeping,37789,7,7
proper,32738,7,7
length time,23002,7,7
outside,29635,7,7
first start,16212,7,7
company,7467,7,7
without medication,46076,7,7
scan,36002,7,7
allow sleep,1727,7,7
straight,39605,7,7
able live,364,7,7
notice decrease,28631,7,7
never get,27923,7,7
drug year,12143,7,7
pain due,29907,7,7
pill every,31110,7,7
suicidal thought,40118,7,7
pain low,29990,7,7
work much,46344,7,7
wish,45927,7,7
time go,42441,7,7
reach,33508,7,7
conversation,8389,7,7
advise,1222,7,7
focus task,16536,7,7
maximum,25256,7,7
severe side,36721,7,7
hypertension,20273,7,6
sleep aid,37613,7,6
boost,5370,7,6
inhibitor,21435,7,6
watch,45125,7,6
chest pain,6557,7,6
third day,42039,7,6
unlike,43987,7,6
day felt,9522,7,6
stroke,39736,7,6
single,37247,7,6
ideation,20393,7,6
useful,44436,7,6
kidney,22366,7,6
instantly,21608,7,6
shrink,36980,7,6
symtoms,40734,7,6
contain,8103,7,6
discoloration,11004,7,6
drain,11666,7,6
tension headache,41560,7,6
inside,21552,7,6
benefit drug,4720,7,6
marriage,25193,7,6
factor,15090,7,6
jump,22204,7,6
wound,46749,7,6
thank,41689,7,6
strep,39649,7,6
glucose,17783,7,6
would feel,46617,7,6
fantastic,15217,7,6
partial,30304,7,6
doxycycline,11631,7,6
break out,5514,7,6
symptom go,40615,7,6
citalopram,6787,7,6
learn,22858,7,6
post nasal,31577,7,6
help decrease,19275,7,6
blemish,5128,7,6
cervical,6362,7,6
right away,35565,7,6
line wrinkle,23900,7,6
load,24108,7,6
inability,20845,7,6
emergency,13363,7,6
narcotic,27478,7,6
whitehead,45853,7,6
mild moderate,26238,7,6
take imitrex,41047,7,6
amoxicillin,2367,7,6
ointment,29096,7,6
skin dry,37458,7,6
diarrhea,10624,7,6
fish,16233,7,6
take time,41216,7,6
abdominal,255,7,6
holiday,19718,7,6
symptom return,40679,7,6
worrying,46503,7,6
tingling,42618,7,6
definately,9979,7,6
gabapentin,17201,7,5
metformin,25944,7,5
cat,6146,7,5
exfoliation,14523,7,5
estradiol,13976,7,5
spinal,38658,7,5
acyclovir,991,7,5
symptons,40726,7,5
detail,10477,7,5
weekly,45428,7,5
meat,25372,7,5
sport,38709,7,5
stage,38881,7,5
suboxone,39868,7,4
awesome,3816,7,4
unit,43960,7,2
subutex,39945,7,1
failure,15127,6,6
prevention pregnancy,32213,6,6
day drug,9494,6,6
doctor say,11342,6,6
month treatment,26821,6,6
tell would,41460,6,6
well sleep,45681,6,6
sleeplessness,37796,6,6
effect take,12901,6,6
take daily,40973,6,6
list,23954,6,6
many people,25140,6,6
today,42708,6,6
front,17000,6,6
decrease acne,9810,6,6
decision,9790,6,6
seem get,36293,6,6
typical,43740,6,6
stop migraine,39520,6,6
moderate acne,26580,6,6
triglyceride,43380,6,6
month time,26819,6,6
away take,3808,6,6
return normal,35440,6,6
worse,46510,6,6
firm,16129,6,6
take three,41214,6,6
change diet,6417,6,6
anti age,2504,6,6
fly,16472,6,6
get thing,17600,6,6
look forward,24289,6,6
added benefit,1039,6,6
seem like,36311,6,6
irritated,21924,6,6
rare,33403,6,6
day medication,9568,6,6
medication make,25564,6,6
speak,38575,6,6
please,31305,6,6
take first,41011,6,6
anti inflammatory,2522,6,6
preventative,32194,6,6
itchy eye,22047,6,6
day two,9686,6,6
take long,41072,6,6
night wake,28204,6,6
month start,26801,6,6
first take,16216,6,6
whole day,45865,6,6
since begin,37176,6,6
laugh,22761,6,6
would come,46589,6,6
suicidal ideation,40114,6,6
time start,42552,6,6
responsibility,35171,6,6
function well,17135,6,6
week skin,45393,6,6
start treatment,39064,6,6
father,15321,6,6
secondary,36173,6,6
pain reduction,30040,6,6
day even,9509,6,6
remarkable,34889,6,6
brown,5689,6,6
week first,45310,6,6
maintenance,24823,6,6
able walk,418,6,6
look skin,24315,6,6
even skin,14141,6,6
help much,19367,6,6
evidence,14350,6,6
interaction,21726,6,6
beat,4277,6,6
treatment effective,43178,6,6
pain relieve,30045,6,6
address,1120,6,6
watery eye,45156,6,6
honestly,19747,6,6
decrease hot,9858,6,6
following,16596,6,6
melasma,25760,6,6
freckle,16854,6,6
suicide,40125,6,6
time even,42419,6,6
gland,17757,6,6
felt calm,15709,6,6
reduce amount,34018,6,6
restful,35216,6,6
make life,24942,6,6
outburst,29605,6,6
week notice,45359,6,6
also experience,1992,6,6
increase libido,21008,6,6
treatment acne,43125,6,6
felt normal,15783,6,6
one tablet,29260,6,6
related,34559,6,6
lightening,23654,6,6
every night,14278,6,6
normalize,28455,6,6
hunger,20169,6,6
deeply,9963,6,6
encounter,13464,6,6
confident,7858,6,6
also get,2002,6,6
x,46843,6,6
see benefit,36197,6,6
quiet,33223,6,6
hyper,20236,6,6
sad,35811,6,6
alternate,2147,6,6
coffee,7156,6,6
tiny,42626,6,6
swollen,40536,6,6
doctor give,11309,6,6
keep take,22300,6,6
step,39162,6,6
partner,30349,6,6
day time,9677,6,6
pay attention,30572,6,6
begin work,4526,6,6
acne breakout,697,6,6
live without,24081,6,6
adjust,1149,6,6
addict,1051,6,6
loss stop,24462,6,6
levothyroxine,23375,6,6
cytomel,9228,6,6
functioning,17146,6,6
benefit help,4745,6,6
make sleepy,24979,6,6
aggravate,1363,6,6
need use,27777,6,6
lie,23441,6,6
recall,33788,6,6
anxiety depression,2645,6,6
less effective,23061,6,6
elbow,13214,6,6
finally able,15942,6,6
increase ability,20954,6,6
lunesta,24701,6,6
stop hair,39496,6,6
couple month,8710,6,6
without much,46080,6,6
like normal,23775,6,6
motivate,27056,6,6
pain take,30089,6,6
practically,31659,6,6
mixed,26540,6,6
spike,38649,6,6
taking,41254,6,6
work within,46423,6,6
flat,16345,6,6
arthritis pain,3248,6,6
medication use,25651,6,6
reduce symptom,34185,6,6
bottom,5410,6,6
also find,2001,6,6
take prescribed,41137,6,6
also reduce,2082,6,6
gain weight,17244,6,6
night without,28207,6,6
treatment stop,43283,6,6
usual,44454,6,6
successful,39960,6,6
try several,43519,6,6
long lasting,24172,6,6
colitis,7217,6,6
monitor,26669,6,6
organize,29468,6,6
calmness,5895,6,6
noticeably,28712,6,6
measure,25368,6,6
texture skin,41685,6,6
prevented pregnancy,32203,6,6
adhd,1133,6,6
help focus,19306,6,6
day life,9558,6,6
energy increase,13596,6,6
swell pain,40449,6,6
crohn disease,8964,6,6
impulsivity,20832,6,6
give energy,17681,6,6
day able,9430,6,6
recent,33827,6,6
pain help,29949,6,6
spine,38663,6,6
however still,20089,6,6
summer,40148,6,6
test show,41657,6,6
call,5820,6,6
well take,45695,6,6
actual,930,6,6
least hour,22875,6,6
couple time,8717,6,6
warm,45079,6,6
efficacy,13147,6,6
able breathe,318,6,6
insulin,21654,6,6
lot well,24509,6,6
tremendously,43321,6,6
relatively,34578,6,6
hospitalize,19890,6,6
attitude,3588,6,6
make easy,24906,6,6
reduce severity,34167,6,6
side affect,37015,6,6
consistently,8022,6,6
hopelessness,19806,6,6
metabolism,25931,6,6
bloat,5168,6,6
moderately,26609,6,6
careful,6087,6,6
doubt,11606,6,6
chance,6388,6,6
substantial,39927,6,6
increase mobility,21018,6,6
drastically,11712,6,6
pain swelling,30086,6,6
asleep within,3331,6,6
seem reduce,36331,6,6
day begin,9457,6,6
help fall,19298,6,6
really work,33746,6,6
severe migraine,36693,6,6
effect medication,12819,6,6
lining,23905,6,6
every month,14276,6,6
extensive,14797,6,6
p,29789,6,6
skin texture,37572,6,6
start go,38980,6,6
heart burn,19125,6,6
grogginess,18398,6,6
discontinue use,11057,6,6
menopausal symptom,25823,6,6
year get,46977,6,6
mention,25891,6,6
intercourse,21734,6,6
rheumatoid,35500,6,6
rheumatoid arthritis,35501,6,6
severe depression,36663,6,6
live normal,24070,6,6
without side,46100,6,6
productive,32603,6,6
adult life,1193,6,6
outweigh benefit,29648,6,6
promote,32707,6,6
drug get,11970,6,6
root,35676,6,6
less acne,23020,6,6
never really,27940,6,6
appropriate,3045,6,6
supplement,40195,6,6
counteract,8695,6,6
week two,45415,6,6
significant improvement,37075,6,6
version,44672,6,5
psoriasis,32928,6,5
wind,45906,6,5
motivated,27062,6,5
dead,9716,6,5
diuretic,11213,6,5
calorie,5904,6,5
content,8111,6,5
social situation,38202,6,5
acne lesion,744,6,5
take effexor,40992,6,5
steroid,39171,6,5
excessive,14449,6,5
property,32764,6,5
dr prescribe,11649,6,5
bi,4966,6,5
legs,22990,6,5
provigil,32880,6,5
surgical,40338,6,5
fight,15921,6,5
miss dose,26511,6,5
four time,16831,6,5
current,9091,6,5
depressive symptom,10382,6,5
shut,36991,6,5
severe headache,36677,6,5
procedure,32488,6,5
warn,45090,6,5
spring,38777,6,5
tachycardia,40872,6,5
grow back,18433,6,5
allow patient,1713,6,5
pain could,29890,6,5
agree,1429,6,5
stuffy,39825,6,5
afraid,1290,6,5
mentally,25883,6,5
percent,30704,6,5
singulair,37253,6,5
month later,26739,6,5
control pill,8323,6,5
month medication,26750,6,5
pain swell,30085,6,5
wife,45890,6,5
blue,5261,6,5
osteopenia,29508,6,5
notice benefit,28624,6,5
lotion,24510,6,5
tennis,41544,6,5
mg day,26006,6,5
seasonique,36134,6,5
bleed,5111,6,5
low dosage,24558,6,5
bladder infection,5097,6,5
flight,16377,6,5
methotrexate,25972,6,5
month acne,26684,6,5
edema,12645,6,5
price,32268,6,5
asthma attack,3427,6,5
medication also,25463,6,5
celebrex,6298,6,5
leg pain,22973,6,5
ear infection,12396,6,5
blown,5255,6,5
full blown,17041,6,5
trip,43392,6,5
md,25325,6,5
able stop,406,6,5
fluctuation,16432,6,5
recover,33906,6,5
hrt,20119,6,5
maxalt,25243,6,4
headache would,19014,6,4
lifestyle,23600,6,4
crestor,8947,6,4
tamiflu,41280,6,4
mirapex,26472,6,4
trazadone,43034,6,4
boil,5325,6,4
xr,46871,6,4
benzodiazepine,4894,6,4
diabetic,10556,6,4
botox,5400,6,4
take prozac,41157,6,4
simple,37145,6,4
sun spot,40167,6,4
polyp,31424,6,4
disc,10987,6,4
singular,37259,6,4
lortab,24347,6,3
klonopin,22404,6,3
take alprazolam,40912,6,3
methadone,25952,6,3
chemotherapy,6539,6,3
thyroid function,42291,6,3
serotonin,36549,6,2
reuptake,35466,6,2
nothing add,28570,6,1
add thanks,1035,6,1
badly,4117,5,5
year start,47083,5,5
nothing help,28586,5,5
clearing,7013,5,5
effective control,12966,5,5
drug seem,12078,5,5
find drug,16009,5,5
reduction anxiety,34248,5,5
relax muscle,34598,5,5
almost normal,1782,5,5
fit,16249,5,5
new person,27992,5,5
temporarily,41494,5,5
male pattern,25020,5,5
well start,45685,5,5
would stop,46714,5,5
drug clear,11909,5,5
continue take,8184,5,5
drug much,12030,5,5
work like,46327,5,5
drug give,11971,5,5
control seizure,8335,5,5
react,33515,5,5
year still,47084,5,5
elevation,13232,5,5
g,17195,5,5
e g,12376,5,5
year use,47104,5,5
ace,588,5,5
collagen,7224,5,5
reduce frequency,34078,5,5
extend,14781,5,5
like old,23778,5,5
thing do,41860,5,5
lethargic,23255,5,5
hat,18855,5,5
want get,45038,5,5
primary,32291,5,5
school work,36078,5,5
improve slightly,20741,5,5
go doctor,17852,5,5
lab,22526,5,5
indicate,21113,5,5
much effective,27208,5,5
daily task,9305,5,5
would one,46674,5,5
week would,45423,5,5
depression well,10365,5,5
work good,46305,5,5
perscribed,30882,5,5
afterwards,1312,5,5
seriously,36528,5,5
formation,16762,5,5
symptom cold,40572,5,5
im,20462,5,5
wake morning,44959,5,5
pain without,30119,5,5
opinion,29359,5,5
twice per,43636,5,5
take morning,41104,5,5
urge smoke,44133,5,5
expose,14751,5,5
go day,17842,5,5
night time,28194,5,5
begin use,4524,5,5
use medicine,44312,5,5
severe anxiety,36646,5,5
general sense,17334,5,5
comedo,7401,5,5
still occasional,39303,5,5
four week,16832,5,5
sharp,36833,5,5
within short,45988,5,5
medication effective,25506,5,5
three time,42181,5,5
effect associate,12702,5,5
would say,46703,5,5
rely,34846,5,5
feeling anxiety,15603,5,5
make possible,24961,5,5
protonix,32808,5,5
control acid,8233,5,5
medication try,25646,5,5
marginal,25166,5,5
bedtime,4449,5,5
day year,9708,5,5
gas,17258,5,5
effective drug,12974,5,5
treatment clear,43153,5,5
help lot,19348,5,5
appointment,3032,5,5
flow,16408,5,5
age spot,1345,5,5
result within,35340,5,5
towards,42935,5,5
flu like,16420,5,5
ache pain,614,5,5
pain start,30074,5,5
pressure go,32037,5,5
recur,33929,5,5
week later,45334,5,5
dosage increase,11466,5,5
time month,42487,5,5
elasticity,13197,5,5
feel little,15497,5,5
prevent infection,32166,5,5
useless,44443,5,5
removal,34951,5,5
determine,10496,5,5
one time,29266,5,5
definitely help,10007,5,5
go feel,17866,5,5
hypomania,20298,5,5
never experience,27917,5,5
adverse effect,1211,5,5
medication able,25454,5,5
exacerbate,14371,5,5
induce,21145,5,5
completely disappear,7578,5,5
need nap,27743,5,5
doctor tell,11353,5,5
extent,14804,5,5
refreshed,34390,5,5
experience benefit,14596,5,5
rough,35715,5,5
living,24097,5,5
would normally,46668,5,5
destroy,10469,5,5
oxycodone,29777,5,5
get use,17619,5,5
day night,9586,5,5
day one,9593,5,5
little benefit,23986,5,5
acne scar,788,5,5
amazing,2280,5,5
first sign,16211,5,5
day treatment,9683,5,5
disappear within,10971,5,5
see improvement,36214,5,5
eight hour,13171,5,5
would help,46634,5,5
